artist_album,year,cluster
Jimmy Giuffre Western Suite,1958,2
Sun Ra Jazz in Silhouette,1958,6
Sonny Rollins Freedom Suite,1958,0
Art Blakey Moanin',1958,6
Cecil Taylor Looking Ahead,1958,4
Jimmy Smith The Sermon,1958,0
Blue Mitchell Big Six,1958,6
Max Roach Deeds Not Words,1958,0
Clark Terry In Orbit,1958,6
Cannonball Adderley Somethin' Else,1958,6
Chico Hamilton Gongs East,1958,2
Hank Mobley Peckin' Time,1958,6
Mongo Santamaria Yambu,1958,0
Cal Tjader Latin Concert,1958,0
Toots Thielemans Man Bites Harmonica,1958,0
Thelonious Monk Misterioso,1958,6
Jimmy Giuffre The Four Brothers Sound .,1958,0
Ornette Coleman The Shape of Jazz To Come,1959,4
George Russell New York New York,1959,7
Miles Davis Kind Of Blue,1959,0
Charles Mingus Mingus Ah Um,1959,6
John Coltrane Giant Steps,1959,6
Art Pepper Plus Eleven,1959,0
Billy Taylor And Four Flutes,1959,23
Charles Mingus Blues and Roots,1959,2
Gerry Mulligan What Is There To Say,1959,23
Horace Silver Blowin; the Blues Away,1959,6
Horace Silver Finger Poppin',1959,6
Illinois Jacquet Flies Again,1959,0
Ira Sullivan Blue Stroll,1959,0
Jimmy Heath The Thumper,1959,23
Milt Jackson Bags And Trane,1959,6
Dave Brubeck Time Out,1959,10
Mongo Santamaria Mongo,1959,0
Jimmy Giuffre Seven Pieces,1959,0
Ornette Coleman Free Jazz,1960,4
Max Roach Freedom Now Suite,1960,6
Charles Mingus Presents,1960,2
Gunther Schuller [John Lewis] Jazz Abstractions,1960,0
George Russell Jazz in the Space Age,1960,21
Eric Dolphy Far Cry,1960,2
Joe Harriott Free Form,1960,4
Tina Brooks True Blue,1960,6
Randy Weston Uhuru Africa,1960,21
Gil Evans Out of the Cool,1960,1
Lennie Tristano The New Tristano,1960,4
Clark Terry Color Changes,1960,0
Jimmy Giuffre Pieces for Clarinet and Strings,1960,0
Hank Mobley Soul Station,1960,6
Horace Silver Horace-Scope,1960,6
Art Blakey The Big Beat,1960,23
Modern Jazz Quartet The Comedy,1960,2
Betty Carter The Modern Sound,1960,17
Oliver Nelson Takin' Care of Business,1960,0
Wes Montgomery The Incredible Jazz Guitar,1960,6
Sam Jones Soul Society,1960,6
George Russell Stratusphunk,1960,18
David Newman & James Clay The Sound Of the Wide Open Spaces,1960,0
Duke Jordan Flight To Jordan,1960,6
Herbie Mann Flute Brass Vibes And Percussion,1960,0
Jazztet Meet the Jazztet,1960,6
Phil Woods Rights Of Swing,1960,0
Art Pepper Gettin' Together,1960,23
Ornette Coleman Ornette,1961,15
John Coltrane Impressions,1961,18
Charles Mingus Oh Yeah,1961,2
Yusef Lateef Eastern Sounds,1961,18
Bill Evans Explorations,1961,18
George Russell Ezz-thetic,1961,8
Jimmy Giuffre Thesis,1961,0
Oliver Nelson Blues and the Abstract Truth,1961,11
John Coltrane My Favorite Things,1961,6
Cecil Taylor New York City R&B,1961,4
Hank Mobley Workout,1961,6
Jackie McLean Bluesnik,1961,6
Mal Waldron The Quest,1961,4
Max Roach Percussion Bitter Sweet,1961,6
Ran Blake & Jeanne Lee The Newest Sound Around,1961,1
Stan Getz Focus,1961,11
Benny Carter Further Definitions,1961,17
Art Blakey Mosaic,1961,6
Jimmy Giuffre Fusion,1961,4
Oliver Nelson Afro-American Sketches,1961,2
Wes Montgomery So Much Guitar,1961,2
Abbey Lincoln Straight Ahead,1961,2
Charles Mingus Epitaph,1962,2
Cecil Taylor Nefertiti,1962,2
Jimmy Giuffre Free Fall,1962,0
Joe Harriott Abstract,1962,4
Jackie McLean Let Freedom Ring,1962,6
Sonny Rollins The Bridge,1962,6
Dexter Gordon Go,1962,6
Freddie Hubbard Artistry,1962,2
Jimmy Woods Awakening,1962,2
George Russell Stratus Seekers,1962,18
Oscar Peterson Night Train,1962,0
Prince Lasha The Cry,1962,21
Sheila Jordan Portrait,1962,1
Charles Mingus The Black Saint And The Sinner Lady,1963,2
Sun Ra Cosmic Tones For Mental Therapy,1963,0
Joe Harriott Movement,1963,0
Bill Evans Conversations with Myself,1963,18
Thelonious Monk Criss Cross,1963,0
Jackie McLean Destination Out,1963,2
Stanley Turrentine Soul Shoutin',1963,0
Eric Dolphy Iron Man,1963,4
Jackie McLean One Step Beyond,1963,2
Joe Henderson Page One,1963,6
Kai Winding Solo,1963,0
Art Blakey Ugetsu,1963,6
Lee Morgan Sidewinder,1963,10
Donald Byrd A New Perspective,1963,0
Chico Hamilton Man from Two Worlds,1963,21
Grant Green Idle Moments,1963,23
Kenny Burrell Midnight Blue,1963,0
John Coltrane A Love Supreme,1964,18
Albert Ayler Spiritual Unity,1964,4
Eric Dolphy Out to Lunch,1964,18
Albert Ayler New York Eye And Ear Control,1964,4
Albert Ayler Witches and Devils,1964,7
Andrew Hill Point of Departure,1964,1
Sam Rivers Fuchsia Swing Song,1964,2
Wayne Shorter Speak No Evil,1964,2
Herbie Hancock Empyrean Isles,1964,21
New York Art Quartet New York Art Quartet,1964,4
Albert Ayler Vibrations,1964,4
Sun Ra Other Planes of There,1964,4
Horace Silver Song For My Father,1964,6
Andre Previn My Fair Lady,1964,10
Denny Zeitlin Carnival,1964,11
Kenny Burrell Guitar Forms,1964,0
Ben Webster Meet You At The Fair,1964,19
Oscar Peterson Canadian Suite,1964,0
Cal Tjader Soul Sauce,1964,0
Denny Zeitlin Cathexis,1964,18
Randy Weston African Cookbook,1964,21
Duke Pearson Wahoo,1964,6
Freddie Hubbard Breaking Point,1964,18
Joe Henderson In 'n Out,1964,18
Tony Scott Music For Zen Meditation,1964,0
Joe Henderson Inner Urge,1964,18
Larry Young Into Somethin',1964,2
Lee Morgan Search For The new Land,1964,6
John Coltrane Crescent,1964,18
Oscar Peterson Trio Plus One,1964,0
Shirley Scott Blue Flames,1964,0
Wayne Shorter Juju,1964,6
Tony Williams Life Time,1964,0
Guenter Hampel Heartplants,1964,0
Charles Lloyd Discovery,1964,1
John Coltrane Ascension,1965,5
Sun Ra The Magic City,1965,4
Marion Brown Quartet,1965,4
Don Cherry Complete Communion,1965,4
Sam Rivers Contours,1965,2
Herbie Hancock Maiden Voyage,1965,6
Sun Ra Heliocentric Worlds Vol 2,1965,4
John Coltrane Meditations,1965,5
Milford Graves Percussion Ensemble,1965,5
Patty Waters Sings,1965,4
Wayne Shorter The All Seeing Eye,1965,2
Frank Wright Trio,1965,4
Andrew Hill Compulsion,1965,7
Ornette Coleman Chappaqua Suite,1965,5
Wayne Shorter Soothsayer,1965,18
Bobby Hutcherson Components,1965,2
New York Art Quartet Mohawk,1965,4
Horace Silver The Cape Verdean Blues,1965,2
Bobby Hutcherson Dialogue,1965,2
Ben Webster Stormy Weather,1965,0
Lee Morgan Cornbread,1965,2
Prince Lasha Inside Story,1965,18
Lee Morgan The Gigolo,1965,6
Archie Shepp Fire Music,1965,4
Roswell Rudd Roswell Rudd,1965,4
Eddie Palmieri Mozambique,1965,0
Gabor Szabo Gypsy,1965,10
Cecil Taylor Unit Structures,1966,4
Roscoe Mitchell Sound,1966,4
Don Cherry Symphony For Improvisers,1966,4
Cecil Taylor Conquistador,1966,4
Alex Schlippenbach Globe Unity,1966,4
Archie Shepp Mama Too Tight,1966,4
Steve Lacy The Forest And The Zoo,1966,4
Steve Lacy Sortie,1966,4
Duke Ellington The Far East Suite,1966,17
Chick Corea Tones For Joan's Bones,1966,6
Sun Ra Strange Strings,1966,16
Patty Waters College Tour,1966,4
Joseph Jarman Song For,1966,5
Guenter Hampel Assemblage,1966,0
Joe Harriott Indo-Jazz Fusions,1966,0
Bobby Hutcherson Happenings,1966,2
Wayne Shorter Adams' Apple,1966,0
Bobby Hutcherson Stick-Up,1966,18
Charles Lloyd Dream Weaver,1966,2
Charles Tyler First Album,1966,0
Denny Zeitlin Zeitgeist,1966,1
Jaki Byard Sunshine Of My Soul,1966,2
Horace Silver The Jody Grind,1966,6
Larry Young Of Love And Peace,1966,0
Lee Morgan Delightfulee,1966,6
Sonny Simmons Music From The Spheres,1966,4
Dewey Redman Look for the Black Star,1966,6
Sunny Murray Sunny Murray Quintet,1966,4
Sun Ra Atlantis,1967,4
Gary Burton A Genuine Tong Funeral,1967,7
Sam Rivers Dimensions And Extensions,1967,4
Roscoe Mitchell Old Quartet,1967,0
Bill Dixon Intents And Purposes,1967,4
George Russell Othello Ballet Suite,1967,15
Muhal Richard Abrams Levels and Degrees of Light,1967,5
Archie Shepp The Magic of Ju-Ju,1967,2
Jackie McLean New and Old Gospel,1967,1
John Coltrane Interstellar Space,1967,4
Frank Wright Your Prayer,1967,4
Spontaneous Music Ensemble Withdrawal,1967,0
Peter Broetzmann For Adolph Sax,1967,0
Chick Corea Now He Sings Now He Sobs,1967,2
Miles Davis Nefertiti,1967,21
Jackie McLean Demon's Dance,1967,2
Miles Davis Sorcerer,1967,21
Gary Burton Duster,1967,0
John Coltrane Expression,1967,18
McCoyTyner The Real McCoy,1967,6
Wayne Shorter Schizophrenia,1967,2
Lee Konitz Duets,1967,18
Paul Bley Virtuosi,1967,7
Lester Bowie Numbers 1 & 2,1967,4
Paul Bley Ballads,1967,2
Michael Mantler Jazz Composers' Orchestra,1968,0
Roscoe Mitchell Congliptious,1968,4
Don Cherry Eternal Rhythm,1968,7
Miles Davis Filles de Kilimanjaro,1968,0
Peter Broetzmann Machine Gun,1968,0
John Surman John Surman,1968,0
Spontaneous Music Ensemble Karyobin,1968,16
Kenny Wheeler Windmill Tilter,1968,1
Modern Jazz Quartet Under the Jasmine Tree,1968,0
Roland Kirk Left And Right,1968,18
Sun Ra Outer Spaceways Incorporated,1968,4
Horace Silver Serenade to a Soul Sister,1968,6
Paul Horn Inside The Taj Mahal,1968,4
McCoyTyner Expansions,1968,21
Gary Bartz Another Earth,1968,0
Pat Martino Baiyina,1968,1
Charles Tolliver Paper Man,1968,2
Herbie Hancock Speak Like A Child,1968,18
Miles Davis Miles in the Sky,1968,6
Dave Burrell High Won High Two,1968,4
Anthony Braxton For Alto,1968,4
Don Cherry Mu,1969,4
Miles Davis Bitches Brew,1969,12
Pharoah Sanders Karma,1969,21
Miles Davis In a Silent Way,1969,0
Art Ensemble of Chicago People in Sorrow,1969,7
Art Ensemble of Chicago Reese and the Smooth Ones,1969,7
Kalaparusha Maurice McIntyre Humility In The Light Of Creator,1969,0
George Russell Electronic Sonata For Souls Loved By Nature,1969,1
Dollar Brand African Piano,1969,4
Guenter Hampel The 8th of July 1969,1969,0
Roland Kirk Rahsaan Rahsaan,1969,21
Pharoah Sanders Jewels Of Thought,1969,4
Archie Shepp Yasmina,1969,0
Art Ensemble of Chicago A Jackson In Your House,1969,4
Charles Tolliver The Ringer,1969,2
Joe McPhee Underground Railroad,1969,4
Jan Garbarek Esoteric Circle,1969,1
Pharoah Sanders Izipho Zam,1969,4
Art Ensemble of Chicago Message to our Folks,1969,4
Sunny Murray Homage to Africa,1969,0
Chick Corea Is,1969,1
Dave Burrell Echo,1969,4
Dewey Redman Tarik,1969,4
Willem Breuker Lunchconcert For Three Barrel-organs,1969,0
Joe Harriott Hum-Dono,1969,0
Peter Broetzmann Nipples,1969,0
Charles Earland Black Talk,1969,0
Wolfgang Dauner Fuer,1969,0
Eric Kloss To Hear Is To See,1969,0
Leon Thomas Spirits Known and Unknown,1969,2
Miroslav Vitous Moutain in the Clouds,1969,0
Tony Williams Emergency,1969,12
Archie Shepp Blase',1969,4
Dollar Brand African Sketchbook,1969,1
John McLaughlin Extrapolation,1969,3
Stanley Cowell Blues for the Viet Cong,1969,18
Stanley Cowell Brilliant Circles,1969,2
Wolfgang Dauner The Oimels,1969,3
Horace Tapscott West Coast Hot,1969,1
Liberation Music Orchestra Song for Che,1969,4
Paul Bley Improvisie,1970,15
Marion Brown Afternoon of a Georgia Faun,1970,4
Alice Coltrane Ptah The El Daoud,1970,0
McCoy Tyner Extensions,1970,23
Art Ensemble of Chicago Les Stances A Sophie,1970,7
Freddie Hubbard Straight Life,1970,10
Art Ensemble of Chicago With Fontella Bass,1970,4
Pharoah Sanders Summon Bukmun Umyun,1970,0
Jan Garbarek Afric Pepperbird,1970,7
Evan Parker The Topography of the Lungs,1970,5
Herbie Hancock Mwandishi,1970,20
Spontaneous Music Ensemble So What Do You Think,1970,0
Alice Coltrane Journey in Satchidananda,1970,4
Stanley Turrentine Sugar,1970,0
Woody Shaw Blackstone Legacy,1970,1
Freddie Hubbard Red Clay,1970,6
McCoy Tyner Asante,1970,2
Miles Davis Big Fun,1970,12
Leon Thomas Album,1970,0
Hubert Laws Afro Classic,1970,10
John McLaughlin My Goals Beyond,1970,3
ICP Orchestra Groupcomposing,1970,0
Guenter Hampel People Symphony,1970,0
Keith Tippett Dedicated To You But You Weren't Listening,1970,3
Misha Mengelberg Instant Composers Pool 005,1970,0
Guenter Hampel Ballet-Symphony,1970,0
Chris McGregor And the Brotherhood of Breath,1970,5
Joe McPhee Nation Time,1970,4
Dave Burrell After Love,1970,4
Sonny Sharrock Monkey-Pockie-Boo,1970,4
Carla Bley Escalator Over The Hill,1971,1
Charles Mingus Let My Children Hear Music,1971,2
Paul Bley Dual Unity,1971,4
Art Ensemble of Chicago Phase One,1971,4
Roland Kirk Natural Black Inventions - Root Strata,1971,0
Weather Report Weather Report,1971,0
Jean-Luc Ponty Open Strings,1971,0
Pharoah Sanders Black Unity,1971,5
Lol Coxhill Ear Of The Beholder,1971,4
Keith Jarrett Facing You,1971,7
Mike Westbrook Metropolis,1971,1
Willem Breuker Instant Composers Pool 008,1971,16
Jan Garbarek Sart,1971,4
Chick Corea The Gathering,1971,20
Keith Tippett Septober Energy,1971,4
Derek Bailey Solo Guitar,1971,16
George Russell Listen to the Silence,1971,15
Ornette Coleman Science Fiction,1971,4
Freddie Hubbard First Light,1971,0
Keith Jarrett Expectations,1971,0
Chick Corea Piano Improvisations,1971,2
Joe Zawinul Zawinul,1971,12
Joe McPhee Trinity,1971,4
Oliver Nelson Swiss Suite,1971,0
Terje Rypdal Terje Rypdal,1971,9
Alice Coltrane Universal Consciousness,1971,4
Paul Winter Icarus,1971,1
Alice Coltrane World Galaxy,1971,4
Paul Winter Road,1971,1
Donald Byrd Ethiopian Knights,1971,0
Tim Weisberg Tim Weisberg,1971,12
Anthony Braxton Saxophone Improvisations,1972,5
Dave Holland Conference of the Birds,1972,4
McCoy Tyner Sahara,1972,0
Weather Report I Sing the Body Electric,1972,12
Jean-Luc Ponty Sonata Erotica,1972,20
London Jazz Composers Orchestra Ode,1972,5
Herbie Hancock Crossings,1972,12
John Surman Westering Home,1972,7
Chick Corea Light as a Feather,1972,12
Guenter Hampel Familie,1972,0
Chick Corea Return To Forever,1972,12
Paul Motian Conception Vessel,1972,7
Neil Ardley Symphony of Amaranths,1972,21
David Liebman Open Sky,1972,4
Ornette Coleman Skies of America,1972,20
Gato Barbieri Bolivia,1972,21
Eric Kloss One Two Free,1972,0
Gary Burton Crystal Silence,1972,1
Evan Parker Collective Calls,1972,5
Guenter Hampel Angel,1972,0
Albert Mangelsdorff Trombirds,1972,4
Julius Hemphill Dogon AD,1972,4
Randy Weston Tanjah,1972,12
Guenter Hampel Waltz For 11 Universes In A Corridor,1972,0
Joe Henderson Black Is The Color,1972,0
"Guenter Hampel Broadway ,",1972,0
Nucleus Belladonna,1972,0
Miles Davis On The Corner,1972,23
Oregon Music Of Another Present Era,1972,1
Paul Bley Open To Love,1972,1
George Russell Living Time,1972,12
McCoy Tyner Echoes of a Friend,1972,21
Mahavishnu Orchestra Birds of Fire,1972,3
Stanley Cowell Illusion Suite,1972,12
Stanley Clarke Children of Forever,1972,12
Gary Bartz Juju Street Songs,1972,12
Airto Moreira Free,1972,9
Sam Rivers Streams,1973,0
Roland Kirk Prepare Thyself To Deal With A Miracle,1973,0
Dollar Brand Sangoma,1973,0
Art Ensemble of Chicago Fanfare For The Warriors,1973,4
Don Cherry Relativity Suite,1973,4
Cecil Taylor Spring of Two Blue J's,1973,4
Keith Jarrett Solo Concerts,1973,16
McCoy Tyner Enlightnment,1973,0
Carla Bley Tropic Appetites,1973,1
Dollar Brand African Space Program,1973,0
Marion Brown Geechee Recollections,1973,4
Herbie Hancock Sextant,1973,12
Frank Wright Church Number Nine,1973,4
Gato Barbieri Latin America,1973,0
Frank Lowe Black Beings,1973,4
Ralph Towner Diary,1973,1
Dewey Redman The Ear of the Behearer,1973,4
Eberhard Weber Colours of Chloe,1973,1
Roswell Rudd Numatik Swing Band,1973,0
Oregon Distant Hills,1973,1
Dollar Brand African Portraits,1973,0
Weather Report Sweetnighter,1973,12
David Liebman Lookout Farm,1973,1
Oscar Peterson Trio,1973,0
Cecil Taylor Solo,1973,0
John Surman Morning Glory,1973,2
Betty Carter Album,1973,0
Mal Waldron Up Popped the Devil,1973,4
Michael Mantler No Answer,1973,1
Billy Cobham Spectrum,1973,3
Herbie Hancock Headhunters,1973,22
Spontaneous Music Ensemble Mouthpiece,1973,0
Charles Earland Leaving This Planet,1973,12
Flora Purim Butterfly Dreams,1973,12
Herbie Hancock Thrust,1973,12
Billy Cobham Crosswinds,1973,12
Sam Rivers Crystals,1974,5
Cecil Taylor Silent Tongues,1974,16
Steve Lacy Saxophone Special,1974,4
Jeanne Lee Conspiracy,1974,4
Leo Smith Reflectativity,1974,0
Bennie Maupin The Jewel In The Lotus,1974,12
Weather Report Mysterious Traveller,1974,12
Randy Weston Blues To Africa,1974,21
Marion Brown Sweet Earth Flying,1974,4
Paul Rutherford Gentle Harm of the Bourgeoisie,1974,4
Marvin Peterson Children of the Fire,1974,6
John Abercrombie Timeless,1974,9
Roswell Rudd Flexible Flyer,1974,4
McCoy Tyner Atlantis,1974,21
Globe Unity Orchestra Hamburg '74,1974,4
Cecil McBee Mutima,1974,0
Mahavishnu Orchestra Apocalypse,1974,3
Ralph Towner Solstice,1974,1
Terje Rypdal Whenever I Seem To Be Far Away,1974,9
Roscoe Mitchell Solo Saxophone Concerts,1974,0
Steve Kuhn Ecstasy,1974,2
Joe McPhee Pieces Of Light,1974,4
Keith Jarrett Death and the Flower,1974,4
Steve Kuhn Trance,1974,21
Steve Lacy Scraps,1974,0
David Liebman Drum Ode,1974,12
Kenny Barron Peruvian Blue,1974,2
Tete Montoliu Music for Perla,1974,0
Bill Watrous Manhattan Wildlife Refuge,1974,17
Lonnie Liston Smith Expansions,1974,0
Mike Gibbs Only Chrome Waterfall,1974,0
McCoy Tyner Sama Layuca,1974,2
Oregon Winter Light,1974,0
Billy Cobham Total Eclipse,1974,3
Keith Jarrett The Koeln Concert,1975,0
Revolutionary Ensemble The Psyche,1975,4
Miles Davis Pangaea,1975,12
Evan Parker Saxophone Solos,1975,5
Leroy Jenkins For Players Only,1975,0
Air Air Song,1975,0
Oliver Lake Heavy Spirits,1975,5
Kenny Wheeler Gnu High,1975,1
Terje Rypdal Odyssey,1975,1
Steve Lacy Dreams,1975,4
Pat Metheny Bright Size Life,1975,12
Anthony Braxton Five Pieces,1975,4
Don Pullen Solo Piano Album,1975,0
Dexter Gordon Bouncing' with Dex,1975,0
Michael Mantler Michael Mantler - Carla Bley,1975,17
Sonny Sharrock Paradise,1975,4
Dudu Pukwana Diamond Express,1975,4
Kenny Barron Lucifer,1975,0
Frank Lowe The Flam,1975,4
John Surman S.O.S.,1975,1
Don Pullen Healing Force,1975,16
Miles Davis Get Up With It,1975,20
Julius Hemphill Coon Bid'ness,1975,4
Gateway Trio Gateway,1975,0
Collin Walcott Cloud Dance,1975,1
Don Moye Sun Percussion,1975,4
Martial Solal Nothing But Piano,1975,1
Eberhard Weber Yellow Fields,1975,1
Don Pullen Five To Go,1975,17
Charles Tolliver Impact,1975,2
Lol Coxhill Welfare State,1975,15
David Liebman Forgotten Fantasies,1975,0
Joe McPhee The Willisau Concert,1975,5
Yosuke Yamashita Chiasma,1975,4
Michael Mantler The Hapless Child,1975,22
Dollar Brand Soweto,1975,21
Don Pullen Capricorn Rising,1975,4
Stanley Clarke Journey to Love,1975,22
Enrico Rava The Pilgrim and the Stars,1975,1
Manhattan Transfer Manhattan Transfer,1975,17
Keith Jarrett Survivors Suite,1976,1
George Lewis Solo Trombone Record,1976,16
Air Air Raid,1976,0
David Murray Flowers for Albert,1976,4
Derek Bailey Company 1,1976,5
Jan Garbarek Dis,1976,1
Irene Schweizer Wilde Senoritas,1976,0
Albert Mangelsdorff Tromboneliness,1976,16
Leo Smith Song of Humanity,1976,0
Tony Coe Zeitgeist,1976,0
Ornette Coleman Dancing in Your Head,1976,4
Jaco Pastorius Jaco Pastorius,1976,12
Martial Solal Movability,1976,1
Hamiet Bluiett Endangered Species,1976,0
Art Lande Rubisa Patrol,1976,1
Chick Corea Romantic Warrior,1976,12
George Adams Suite For Swingers,1976,0
Jean-Luc Ponty Imaginary Voyage,1976,3
David Friesen Star Dance,1976,0
Dexter Gordon Biting the Apple,1976,6
Joachim Kuhn Springfever,1976,3
Eberhard Weber The Following Morning,1976,1
Lew Tabackin Dual Nature,1976,0
Chico Freeman Morning Prayer,1976,0
Weather Report Black Market,1976,12
Charles Tyler Saga Out of the Outlaws,1976,0
Al DiMeola Land of The Midnight Sun,1976,12
Woody Shaw Little Red's Fantasy,1976,2
Stanley Clarke School Days,1976,0
Yosuke Yamashita Banslikana,1976,4
Ran Blake Wende,1976,0
Guenter Christmann Solomusiken Fuer Posaune und Kontrabasse,1976,0
Egberto Gismondi Danca Das Cabecas,1976,0
George Lewis Chicago Slow Dance,1977,0
Air Air Time,1977,0
George Lewis Shadowgraph,1977,4
Joe McPhee Graphics,1977,0
James Ulmer Revealing,1977,14
Pat Metheny Watercolors,1977,9
John Scofield East Meets West,1977,12
Leroy Jenkins Solo Concert,1977,0
Julius Hemphill Blue Boye,1977,15
Michael Mantler Movies,1977,1
Abdul Wadud By Myself,1977,0
Roscoe Mitchell Nonaah,1977,4
Joanne Brackeen Tring A Ling,1977,0
Art Lande Desert Marauders,1977,1
Chico Freeman Kings of Mali,1977,16
Art Pepper No Limit,1977,0
Arthur Blythe Metamorphosis,1977,2
Collin Walcott Grazing Dreams,1977,1
David Friesen Waterfall Rainbow,1977,0
Dave Holland Emerald Tears,1977,1
Neil Ardley Kaleidoscope of Rainbows,1977,14
Chico Freeman Chico,1977,0
Frank Lowe Lowe And Behold,1977,0
Vinny Golia Spirits In Fellowship,1977,0
Weather Report Heavy Weather,1977,12
Ernie Krivda Satanic,1977,0
Derek Bailey Company 5,1977,16
Chico Freeman No Time Left,1977,4
Paul Motian Dance,1977,1
Hamiet Bluiett SOS,1977,0
Jan Garbarek Places,1977,1
World Saxophone Quartet Point Of No Return,1977,4
John Tchicai Real,1977,1
Julius Hemphill Raw Materials and Residuals,1977,0
George Russell Vertical Form 6,1977,0
Joanne Brackeen Aft,1977,0
Julius Hemphill Roi Boye and the Gotham Minstrels,1977,4
Kenny Wheeler Deer Wan,1977,1
Irene Schweizer Hexensabbat,1977,0
Leroy Jenkins Lifelong Ambitions,1977,5
Globe Unity Pearls,1977,0
Ralph Towner Sound And Shadows,1977,11
Hamiet Bluiett Birthright,1977,4
Jean-Luc Ponty Enigmatic Ocean,1977,3
Muhal Richard Abrams 1-OQA+19,1977,4
Cecil McBee Music From the Source,1977,7
Steve Lacy Raps,1977,7
Woody Shaw Rosewood,1977,0
Gateway Trio 2,1977,0
Louis Hayes The Real Thing,1977,0
McCoy Tyner Supertrio,1977,0
Al DiMeola Elegant Gypsy,1977,3
Michael Urbaniak Urbaniak,1977,0
Keith Jarrett My Song,1977,0
Arthur Blythe Bush Baby,1977,4
Sheila Jordan Sheila,1977,0
Leo Smith Mass on the World,1978,0
Roscoe Mitchell LRG-Maze-S II Examples,1978,4
Leroy Jenkins Legend of Ai Glatson,1978,2
Rova Saxophone Quartet Cinema Rovate,1978,0
Gerry Hemingway Kwambe,1978,0
Sam Rivers Waves,1978,4
George Lewis Imaginary Suite,1978,15
Don Pullen Warriors,1978,4
Guenter Hampel Oasis,1978,0
Cecil Taylor 3 Phasis,1978,5
John Oswald Improvised,1978,1
Andrew Cyrille Metamusician's Stomp,1978,4
Ralph Towner Batik,1978,0
Art Ensemble of Chicago Nice Guys,1978,4
Carla Bley Musique Mecanique,1978,1
Air Open Air Suit,1978,15
Marvin Peterson The Light,1978,21
Anthony Davis Of Blues and Dream,1978,0
David Liebman Pendulum,1978,2
Pat Metheny Group,1978,12
Ernie Krivda The Alchemist,1978,0
Evan Parker Monoceros,1978,16
Anthony Braxton For Four Orchestras,1978,0
Ganelin Trio Concerto Grosso,1978,5
Cecil Taylor Cecil Taylor Unit,1978,5
James Ulmer Tales From Captain Black,1978,14
Oliver Lake Life Dance Of Is,1978,0
Lester Bowie African Children,1978,0
World Saxophone Quartet Steppin' With,1978,0
Arthur Blythe Lenox Avenue Breakdown,1978,1
Paul Winter Common Ground,1978,1
Kenny Barron Innocence,1978,0
